Plot,Plot,,
1567,4.64,7.535,-6
1558,4.65,7.475,-6
1548,4.66,7.415,-6.5
1539,4.67,7.355,-6.75
1528,4.68,7.285,-6.75
1518,4.69,7.22,-7.25
1507,4.7,7.15,-7.75
1495,4.71,7.075,-8
1483,4.72,6.995,-8.25
1471,4.73,6.915,-8.75
1457,4.74,6.83,-9
1444,4.75,6.74,-9.25
1430,4.76,6.65,-9.75
1415,4.77,6.555,-10
1399,4.78,6.455,-10.25
1383,4.79,6.355,-10.75
1366,4.8,6.25,-11.25
1348,4.81,6.14,-11.5
1330,4.82,6.025,-11.75
1311,4.83,5.91,-12.25
1291,4.84,5.79,-12.5
1271,4.85,5.665,-12.75
1250,4.86,5.54,-13.5
1228,4.87,5.41,-13.75
1205,4.88,5.27,-14
1182,4.89,5.135,-14.5
1158,4.9,4.99,-14.75
1133,4.91,4.845,-15.25
1108,4.92,4.695,-15.5
1082,4.93,4.54,-15.75
1054,4.94,4.385,-16
1027,4.95,4.225,-16.25
998,4.96,4.065,-16.5
969,4.97,3.9,-16.75
939,4.98,3.735,-17
908,4.99,3.565,-17
877,5,3.395,-17.25
845,5.01,3.225,-17.5
813,5.02,3.05,-17.25
780,5.03,2.875,-17.25
747,5.04,2.705,-17.25
713,5.05,2.53,-17.25
679,5.06,2.36,-17.25
645,5.07,2.185,-16.75
610,5.08,2.015,-16.5
575,5.09,1.85,-16.5
541,5.1,1.685,-16.25
506,5.11,1.52,-15.75
472,5.12,1.36,-15.25
437,5.13,1.205,-15
403,5.14,1.055,-14.75
370,5.15,0.905,-14.25
337,5.16,0.76,-13.75
304,5.17,0.62,-13.25
272,5.18,0.485,-12.5
241,5.19,0.355,-12
211,5.2,0.235,-11.75
181,5.21,0.115,739
152,5.22,0,739.5
124,5.23,14.895,-10
97,5.24,14.79,-9.25
71,5.25,14.695,-8.75
47,5.26,14.605,-8.25
23,5.27,14.52,-7.5
0,5.28,14.44,-7
2979,5.29,14.37,-6.5
2958,5.3,14.3,-5.75
2939,5.31,14.24,-5.25
2921,5.32,14.185,-4.75
2904,5.33,14.135,-4
2888,5.34,14.09,-3.5
2874,5.35,14.055,-3
2860,5.36,14.02,-2.25
2848,5.37,13.995,-1.75
2837,5.38,13.975,-1.25
2827,5.39,13.96,-0.5
2818,5.4,13.95,0
2811,5.41,13.95,0.5
2804,5.42,13.95,1.25
2799,5.43,13.96,1.75
2795,5.44,13.975,2
2792,5.45,13.995,2.5
2790,5.46,14.015,3.25
2790,5.47,14.045,3.75
2790,5.48,14.08,4.5
2792,5.49,14.12,5
2795,5.5,14.17,5.5
2799,5.51,14.22,6
2803,5.52,14.28,5.75
2809,5.53,14.34,6.5
2816,5.54,14.395,7.5
2824,5.55,14.47,8
2834,5.56,14.545,8.5
2844,5.57,14.63,9
2856,5.58,14.715,9.75
2868,5.59,14.81,-740
2879,5.6,14.91,-739.5
2894,5.61,0.01,11
2909,5.62,0.12,11.5
2926,5.63,0.23,12
2943,5.64,0.35,12.25
2962,5.65,0.47,12.75
2982,5.66,0.595,13
2,5.67,0.725,13.5
24,5.68,0.855,14
46,5.69,0.995,14
70,5.7,1.135,14.25
94,5.71,1.275,14.5
119,5.72,1.42,14.75
145,5.73,1.565,15
171,5.74,1.715,15
199,5.75,1.865,15
227,5.76,2.015,15
255,5.77,2.165,15
284,5.78,2.315,15
313,5.79,2.465,15
343,5.8,2.615,14.75
373,5.81,2.765,14.5
403,5.82,2.91,14.5
433,5.83,3.055,14.25
463,5.84,3.2,14
493,5.85,3.34,13.75
523,5.86,3.48,13.5
553,5.87,3.615,13
582,5.88,3.75,12.5
611,5.89,3.875,12.5
640,5.9,4,12
668,5.91,4.125,11.5
696,5.92,4.24,11
723,5.93,4.355,10.5
750,5.94,4.46,10.25
775,5.95,4.565,9.75
800,5.96,4.665,9.25
825,5.97,4.76,8.75
848,5.98,4.85,8.25
871,5.99,4.935,7.75
892,6,5.015,7
913,6.01,5.09,6.75
933,6.02,5.155,6.5
952,6.03,5.225,5.75
970,6.04,5.285,5.25
987,6.05,5.34,4.75
1003,6.06,5.39,4.25
1018,6.07,5.435,3.75
1031,6.08,5.475,3.25
1045,6.09,5.51,2.75
1057,6.1,5.54,2.25
1068,6.11,5.565,1.75
1078,6.12,5.585,1.25
1087,6.13,5.6,0.75
1095,6.14,5.61,0.5
1102,6.15,5.615,0
1108,6.16,5.62,-0.75
1113,6.17,5.615,-1.25
1117,6.18,5.605,-1.5
1120,6.19,5.59,-2
1122,6.2,5.575,-2.5
1123,6.21,5.55,-2.75
1124,6.22,5.525,-3.5
1123,6.23,5.495,-4
1121,6.24,5.455,-4.25
1118,6.25,5.415,-4.75
1115,6.26,5.37,-5.25
1110,6.27,5.32,-5.75
1105,6.28,5.265,-6
1099,6.29,5.205,-6.5
1091,6.3,5.145,-7
1083,6.31,5.075,-7.25
1074,6.32,5.005,-7.75
1064,6.33,4.93,-8.25
